SalePrice,OverallCond,OverallQual,YearBuilt,YearRemodAdd,MoSold,YrSold,LotArea,TotalBath,BedroomAbvGr,GarageCars
239686,5,7,2003,2003,8,2009,12822,1.5,1,2
249700,5,8,2006,2006,7,2007,11096,2.0,3,3
113000,5,4,1920,2008,6,2009,4456,2.0,2,0
127000,7,5,1966,1966,1,2007,7742,1.0,3,1
177000,6,6,1997,1997,7,2007,13869,2.0,3,2
114500,6,6,1934,1950,9,2006,6240,1.0,3,2
110000,5,5,1963,1963,5,2010,8472,1.0,2,2
385000,5,9,1981,1987,11,2006,50271,0.5,0,3
130000,5,5,1955,1955,2,2007,7134,1.0,3,2
180500,5,6,1964,1964,7,2008,10175,2.0,3,2
172500,5,8,1999,2000,8,2009,2645,2.5,3,2
196500,5,7,2004,2004,8,2006,11645,2.5,3,2
438780,5,10,2006,2006,10,2006,13682,3.5,3,3
124900,7,5,1972,1972,1,2008,7200,1.0,2,1
158000,5,6,2004,2004,5,2006,13072,1.5,3,2
101000,7,5,1920,1996,3,2007,7200,1.0,3,1
202500,5,8,2006,2006,10,2007,6442,2.0,2,2
140000,6,7,1921,1950,4,2010,10300,2.0,3,2
219500,5,7,1997,1998,2,2009,9375,2.5,3,2
317000,5,8,2004,2005,10,2007,9591,2.5,4,3
180000,5,7,1970,1989,7,2010,19900,2.0,3,2
226000,5,7,2003,2003,6,2007,10665,2.0,3,2
80000,6,4,1945,1950,6,2010,4608,1.0,2,1
225000,4,7,1953,1953,7,2006,15593,2.0,3,2
244000,6,7,1973,1973,2,2007,13651,2.0,3,2
129500,6,4,1982,2006,6,2007,7599,1.0,2,2
185000,5,7,1998,1998,12,2009,10141,2.5,3,2
144900,7,5,1954,2003,5,2010,10200,1.0,3,2
107400,6,3,1915,1950,5,2010,5790,2.0,3,1
91000,5,4,1973,1973,11,2009,1596,1.0,2,1
135750,7,4,1956,1956,4,2008,8475,1.0,2,1
127000,5,5,1948,2001,1,2008,8635,1.0,2,1
136500,5,4,1968,1968,4,2010,10778,2.0,4,0
110000,6,5,1910,1981,5,2009,10440,1.5,2,2
193500,6,6,1968,1968,6,2009,13000,2.5,4,1
153500,5,6,1998,1998,3,2006,4500,2.0,2,2
245000,5,8,2007,2007,10,2008,10206,2.0,3,3
126500,5,5,1960,1960,7,2007,8892,1.5,3,2
168500,5,7,1995,1996,5,2009,8530,2.5,3,2
260000,5,8,1991,1992,4,2006,16059,2.5,4,2
174000,5,6,2005,2005,3,2009,11911,2.5,3,2
164500,5,6,2009,2009,6,2009,3951,2.5,2,2
85000,2,3,1915,1982,10,2009,8470,1.0,2,0
123600,5,4,1994,1995,8,2007,8070,1.0,3,0
109900,5,4,1950,1950,7,2006,7200,1.0,2,2
98600,3,5,1961,1961,12,2006,8500,1.0,2,2
163500,7,5,1921,2006,8,2009,13360,1.0,2,2
133900,6,6,1910,1998,11,2007,7200,2.0,4,2
204750,5,6,1997,1997,5,2007,9337,2.5,3,2
185000,8,6,1993,1993,4,2009,9765,2.5,3,2
214000,5,7,1999,1999,8,2006,10264,2.0,3,2
94750,5,4,1965,1965,5,2007,10921,1.0,3,1
83000,5,5,1920,1950,5,2010,10625,1.0,2,1
128950,5,4,1959,1959,1,2010,9320,1.5,3,0
205000,7,6,1977,2001,2,2010,10603,2.0,3,2
178000,5,6,1985,1985,6,2010,9206,2.5,3,2
118964,5,5,1979,1979,6,2009,7018,2.0,4,2
198900,5,7,2009,2009,5,2010,10402,2.0,3,3
169500,4,7,1931,1950,6,2007,7758,1.5,4,1
250000,5,8,2003,2004,8,2008,9375,2.5,3,2
100000,7,4,1885,1995,8,2007,10800,1.0,2,1
115000,5,5,1948,1950,4,2008,6000,1.0,2,1
115000,7,5,1919,2005,8,2007,8500,2.0,3,0
190000,6,6,1977,1977,1,2010,11751,2.0,3,2
136900,4,6,1954,1972,10,2006,9525,2.0,4,1
180000,5,7,2000,2000,4,2010,7750,2.5,3,2
383970,5,7,2007,2007,10,2007,9965,2.5,4,3
217000,5,6,1953,1953,10,2007,21000,2.0,3,2
259500,8,6,1945,2002,7,2007,7259,2.5,3,1
176000,5,6,1999,1999,6,2007,3230,2.5,2,2
139000,5,5,1962,1962,9,2009,11616,1.0,3,1
155000,5,5,2006,2007,4,2007,8536,1.5,2,2
320000,5,7,1990,1990,5,2010,12376,3.0,5,3
163990,5,6,2005,2006,7,2006,8461,2.5,3,2
180000,5,6,1969,1969,10,2006,21453,1.0,1,2
100000,5,4,1939,1950,6,2007,6060,1.0,3,1
136000,7,6,1958,1958,6,2008,9464,1.0,3,1
153900,5,6,1993,1993,3,2008,7892,2.0,2,2
181000,5,6,1979,1998,1,2009,17043,2.0,3,2
84500,8,6,1935,1982,6,2006,6780,1.0,2,0
128000,5,6,1976,1976,2,2007,4928,2.0,2,2
87000,7,5,1930,1950,6,2007,4388,1.0,3,0
155000,5,6,1966,1966,7,2006,7590,1.5,3,2
150000,7,5,1958,1991,7,2006,8973,1.5,3,2
226000,6,7,1966,1966,5,2006,14200,2.5,4,2
244000,5,6,2000,2000,7,2009,12224,2.5,3,2
150750,6,5,1959,2002,7,2007,7388,1.0,3,2
220000,5,8,2001,2002,6,2009,6853,2.0,2,2
180000,6,5,1968,1993,7,2006,10335,2.5,3,2
174000,6,7,1970,1970,5,2008,10400,2.0,3,2
143000,5,5,1967,1967,7,2007,10355,2.0,3,1
171000,5,7,1988,1989,7,2006,11070,3.0,5,3
230000,5,8,1999,2000,12,2008,9066,2.5,3,3
231500,5,6,1997,1997,8,2009,15426,2.5,3,2
115000,5,4,1971,1971,4,2010,10500,1.0,3,0
260000,5,7,2005,2005,1,2006,11645,2.0,3,2
166000,4,5,1952,1952,6,2010,8520,2.0,4,2
204000,5,7,1999,1999,6,2009,10335,2.0,3,2
125000,5,5,1963,1963,11,2006,9100,2.0,6,2
130000,5,6,2004,2006,4,2006,2522,2.0,3,2
105000,7,5,1931,1993,11,2009,6120,1.0,2,1
222500,5,7,2001,2001,5,2010,9505,2.5,3,2
141000,5,7,2004,2005,4,2008,7500,1.0,3,0
115000,4,5,1936,1950,4,2006,6240,1.0,3,1
122000,6,5,1975,1975,1,2007,10356,1.5,3,2
372402,5,8,2007,2008,1,2008,13891,2.0,2,3
190000,5,6,1971,1971,6,2006,14803,2.5,4,2
235000,7,6,1960,1975,3,2008,13500,1.0,1,2
125000,5,6,1923,1950,3,2006,11340,1.0,4,1
79000,5,6,1924,1950,4,2008,9600,1.0,2,0
109500,7,5,1950,1950,6,2006,7200,1.0,2,2
269500,5,8,2009,2010,5,2010,12003,2.5,4,3
254900,5,7,2004,2005,5,2010,12552,2.5,3,2
320000,5,7,2005,2006,3,2006,19378,2.5,4,2
162500,6,6,1984,1984,6,2008,11120,2.0,3,2
412500,5,9,2003,2004,3,2008,13688,2.5,3,3
220000,5,7,2005,2005,5,2010,12182,2.0,3,2
103200,6,4,1956,1956,4,2007,5500,1.0,1,0
152000,7,6,1926,2004,10,2007,5400,2.0,3,1
127500,7,5,1940,1999,9,2008,10106,2.0,4,0
190000,5,5,1955,1993,11,2009,10708,1.0,2,1
325624,5,8,2007,2007,11,2007,10562,1.5,3,3
183500,5,7,2004,2004,5,2007,8244,2.5,3,2
228000,6,8,1981,1981,1,2006,16669,2.5,2,2
128500,6,5,1941,1950,5,2007,12358,1.5,2,2
215000,5,6,1960,1960,5,2010,31770,1.0,3,2
239000,7,7,1987,1987,6,2006,5306,2.0,2,2
163000,5,6,1961,1961,6,2008,10197,1.5,3,2
184000,5,6,1986,1986,11,2008,12416,2.0,3,2
243000,7,6,1950,2001,6,2007,12615,2.0,4,2
211000,5,6,1988,1989,9,2007,10029,2.5,4,2
172500,5,5,1958,1958,7,2006,13650,2.0,4,2
501837,5,9,2008,2009,7,2009,17423,2.0,1,3
100000,6,5,1923,2006,7,2007,8520,1.0,2,2
177000,5,6,2000,2000,6,2007,2117,2.5,3,2
200100,6,7,1920,1950,7,2006,7588,1.5,4,1
120000,6,5,1957,2006,6,2007,9060,1.0,3,1
200000,5,7,2003,2003,6,2008,11426,2.5,3,2
127000,8,5,1908,1991,6,2006,7438,1.0,3,2
475000,9,10,1892,1993,6,2006,22950,2.5,4,3
173000,5,7,1990,1991,6,2009,9947,2.0,3,2
135000,7,5,1916,1987,8,2009,10410,2.5,3,1
153337,5,5,1979,1979,6,2009,7018,1.0,2,2
286000,5,8,2001,2002,8,2008,4923,1.5,0,2
315000,8,8,1932,1994,12,2007,10570,2.5,3,2
184000,9,7,1972,2004,6,2007,7472,1.5,4,2
192000,5,7,1999,1999,9,2009,9017,2.0,3,2
130000,5,7,2004,2004,5,2006,2522,2.0,3,2
127000,7,5,1972,1972,5,2008,7180,1.0,3,1
148500,6,6,1976,1976,7,2009,2280,2.5,3,2
311872,5,7,2007,2007,9,2007,9416,2.0,3,3
235000,4,8,1918,1990,3,2006,25419,2.0,4,2
104000,6,6,1912,1950,7,2009,5520,1.0,5,0
274900,5,8,2004,2005,1,2009,9591,2.0,3,3
140000,5,4,2003,2004,3,2010,8546,2.0,2,2
171500,6,6,1977,1977,2,2008,10125,2.0,3,2
112000,6,6,1924,1950,5,2006,7000,2.0,2,1
149000,5,6,2004,2004,1,2008,4438,1.0,1,2
110000,7,5,1947,1950,4,2009,3500,1.5,2,1
180500,5,7,1990,1990,5,2009,11851,2.0,3,2
143900,5,5,1962,1962,3,2007,13673,1.5,3,1
141000,5,4,1960,1960,4,2008,12493,1.0,3,1
277000,5,7,1988,1989,4,2007,14364,2.5,3,2
145000,7,6,1964,1964,7,2008,8250,1.0,3,2
98000,6,5,1925,1950,4,2008,5604,1.0,2,0
186000,5,6,2009,2009,3,2010,10420,2.0,3,2
252678,5,7,2009,2009,7,2009,8640,2.5,3,2
156000,5,5,1995,1995,7,2006,13568,1.0,3,2
161750,7,6,1977,1977,3,2010,10900,1.5,3,1
134450,6,5,1957,1996,5,2006,10011,1.0,2,1
210000,5,7,2004,2004,4,2008,8450,2.0,3,2
107000,4,4,1925,1950,9,2006,9906,1.0,3,1
311500,9,7,1939,2006,5,2008,15660,1.5,3,2
167240,5,7,2005,2006,3,2006,3010,2.0,2,2
204900,5,7,2006,2006,4,2006,8990,2.0,2,2
200000,5,6,2002,2002,12,2009,8068,2.5,4,2
179900,6,6,1975,1975,2,2006,11475,2.5,3,2
97000,6,4,1971,1971,3,2009,10500,1.0,2,2
386250,5,10,2003,2003,6,2009,13472,2.0,3,3
112000,5,5,1971,1971,5,2009,1680,2.5,3,1
290000,5,7,1995,1995,6,2007,9950,2.5,4,3
106000,6,6,1970,1970,9,2008,1869,1.5,2,1
125000,5,5,1967,1967,5,2010,8521,1.0,3,1
192500,5,7,2005,2006,5,2009,3182,2.0,2,2
148000,6,6,1959,1959,4,2010,8760,1.0,3,1
403000,5,8,1995,1996,7,2009,15138,2.5,4,3
94500,5,6,1972,1972,6,2006,1680,1.5,2,1
128200,6,5,1976,1976,2,2010,10650,1.0,3,1
216500,5,6,2002,2002,5,2010,7851,2.5,4,2
89500,3,6,1971,1971,8,2008,1680,1.5,2,1
185500,5,7,2004,2004,5,2010,8773,2.0,3,2
194500,7,7,1993,2003,2,2010,9453,2.5,3,2
318000,5,8,2007,2007,12,2007,12030,2.0,3,3
113000,4,6,1945,1950,4,2010,8741,1.5,3,1
262500,5,8,2008,2008,4,2010,9000,2.0,3,2
110500,9,5,1945,1997,8,2007,3880,1.0,2,0
79000,4,5,1900,1950,4,2006,5000,1.0,3,1
120000,6,6,1980,1980,4,2009,10762,1.5,3,1
205000,5,7,1994,2002,5,2010,8880,2.5,3,2
241500,5,7,1988,1988,6,2006,10400,2.0,3,2
137000,8,6,1910,1950,4,2006,9142,2.0,4,1
140000,5,6,1954,1954,6,2006,11310,1.0,2,2
180000,5,7,2003,2003,9,2007,11317,2.5,3,2
277000,7,6,1958,2006,6,2007,159000,2.0,4,2
76500,2,3,1940,1966,5,2010,5350,1.0,3,0
235000,5,8,2006,2007,12,2007,4750,2.0,2,2
173000,5,6,2004,2004,12,2008,8366,2.5,3,2
158000,7,6,1964,1991,10,2007,9350,2.0,3,1
145000,6,5,1957,1957,6,2010,8400,1.0,3,1
230000,5,7,1999,1999,2,2006,8738,2.5,4,2
207500,5,6,2003,2003,5,2008,8791,2.5,3,2
220000,5,7,2006,2006,3,2009,8814,2.5,3,2
231500,5,7,2001,2001,5,2008,12435,2.5,3,2
97000,5,5,1956,1956,12,2008,12702,1.0,2,1
176000,5,6,1962,1962,5,2009,19296,1.0,3,2
276000,5,8,2007,2007,11,2007,9588,2.5,3,3
151000,7,6,1977,1995,7,2006,8471,1.0,3,2
130000,7,5,1929,2001,4,2010,5500,1.0,3,2
73000,5,5,1925,2004,6,2008,5232,1.0,2,2
175500,6,6,1981,1981,6,2008,12090,2.0,3,2
185000,5,6,1997,1997,6,2006,11207,2.5,3,2
179500,8,5,1939,1997,7,2008,8400,2.5,4,1
120500,6,5,1940,1955,2,2008,6900,1.0,2,1
148000,7,6,1976,1976,5,2007,7917,1.5,3,1
266000,5,8,2006,2006,8,2006,10728,2.5,3,3
241500,7,7,1954,2005,4,2008,39104,1.0,2,2
290000,7,8,1999,2007,4,2010,11764,2.5,4,3
139000,6,6,1958,1988,4,2009,9600,2.0,3,1
124500,7,5,1982,1982,6,2007,8314,1.0,2,1
205000,7,7,1925,2007,10,2009,7264,2.5,3,2
201000,5,7,2003,2003,4,2010,9196,2.0,3,2
141000,5,4,1951,1951,6,2010,19138,1.0,2,2
415298,5,9,2006,2007,5,2007,14450,2.5,3,3
192000,5,7,1977,1977,3,2008,10005,2.5,4,2
228500,6,7,1989,1989,1,2007,11287,2.5,3,2
185000,5,6,2006,2006,5,2006,7200,2.0,2,2
207500,5,7,2007,2008,4,2009,5063,2.0,2,2
244600,5,8,2008,2009,12,2009,9612,2.0,3,3
179200,5,6,1992,1992,7,2007,8012,2.0,2,2
164700,5,7,2006,2007,6,2007,4251,2.5,2,2
159000,7,6,1962,1981,6,2006,9786,1.5,3,2
88000,4,4,1971,1971,6,2006,8125,1.0,3,0
122000,5,5,1967,1967,2,2010,9819,1.0,3,1
153575,7,6,1915,2003,7,2007,8730,1.0,3,1
233230,5,8,2006,2006,7,2006,15611,2.5,3,2
135900,6,5,1912,2000,3,2008,5687,2.0,6,0
131000,4,5,1949,2008,1,2009,11409,1.5,3,1
235000,7,7,1977,1994,3,2006,16659,2.5,3,2
167000,5,6,1953,1953,10,2009,9600,1.0,3,2
142500,6,6,1984,1984,3,2006,7937,1.0,3,2
152000,5,5,1950,1950,6,2007,13710,1.5,4,1
239000,5,7,1997,1998,6,2007,7399,2.5,3,2
175000,6,6,1968,1968,6,2007,11700,2.0,3,2
158500,8,6,1950,2004,8,2009,14000,1.0,3,1
157000,5,5,1953,1953,6,2006,15750,1.0,2,1
267000,5,8,1998,1999,5,2007,16226,2.5,4,2
205000,5,7,2001,2002,1,2006,13704,2.0,3,3
149900,7,5,1972,1972,7,2006,9800,1.0,3,2
295000,9,7,1880,2002,5,2008,18386,3.0,3,3
305900,5,8,2004,2005,7,2007,10386,2.0,3,3
225000,5,7,1990,1991,6,2007,13474,2.5,4,3
89500,7,6,1920,1950,3,2008,7920,1.0,3,0
82500,5,4,1940,1950,3,2009,12342,1.0,1,2
360000,5,9,2003,2004,11,2006,12378,2.0,3,3
165600,5,6,1993,1994,5,2006,7685,2.5,3,2
132000,6,6,1948,2002,5,2009,8000,1.0,2,1
119900,7,5,1939,1950,5,2006,7800,1.0,3,2
375000,5,7,1965,1965,6,2009,215245,2.0,3,2
178000,7,7,1925,1990,8,2006,9600,1.5,3,2
188500,5,7,2004,2005,7,2009,7795,2.5,3,2
260000,7,7,1980,1980,8,2009,13005,2.5,4,2
270000,5,8,2006,2006,12,2007,9000,2.5,3,3
260000,5,7,1993,1993,4,2009,9900,2.5,4,3
187500,5,7,1980,1980,6,2009,14115,2.0,3,2
342643,5,9,2006,2006,9,2006,16259,3.5,4,3
354000,5,8,2004,2004,6,2007,12099,2.5,4,3
301000,5,7,1986,1987,8,2007,10380,2.5,4,2
126175,8,3,1955,2005,7,2006,5820,1.0,3,1
242000,7,7,1967,2007,6,2010,11275,2.5,5,2
87000,6,5,1941,1950,12,2007,5000,1.0,2,2
324000,5,8,1993,1993,5,2008,10846,1.5,1,2
145250,5,6,1960,1960,4,2006,11600,1.5,3,1
214500,6,6,1916,1994,7,2009,11888,2.0,5,2
78000,5,5,1920,1950,7,2009,6402,1.0,3,1
119000,4,5,1964,1964,11,2007,10624,2.0,6,1
139000,6,5,1958,1992,8,2007,8176,1.0,3,1
284000,5,8,2003,2004,10,2009,10655,2.0,3,3
207000,5,7,2004,2004,7,2008,8198,2.0,2,2
192000,5,6,1998,1998,7,2008,9042,2.5,3,2
228950,6,5,1965,1965,8,2008,164660,2.0,3,2
377426,5,9,2005,2006,7,2007,14157,2.0,3,3
214000,5,7,2002,2003,12,2008,9135,2.0,3,2
202500,7,7,1984,1998,5,2006,14145,2.0,3,2
155000,7,6,1958,1998,6,2009,12400,1.0,3,1
202900,5,8,2002,2002,4,2010,14191,2.5,4,2
82000,4,4,1950,1950,9,2009,8400,1.0,2,1
87500,4,3,1949,1950,5,2006,8544,2.0,2,2
266000,5,9,2005,2005,7,2008,8849,2.0,2,2
85000,3,5,1976,1976,4,2010,2592,1.5,3,1
140200,5,6,1939,1950,10,2006,6435,1.0,3,1
151500,8,6,1960,1998,4,2007,12772,1.0,2,1
157500,5,6,1960,1960,12,2009,17600,2.0,3,2
154000,5,7,2003,2004,10,2008,2448,2.5,2,2
437154,5,9,2005,2006,4,2006,20431,2.5,4,3
318061,5,9,2007,2007,12,2007,7820,2.0,2,2
190000,5,7,1986,1986,12,2006,5271,1.5,2,2
95000,6,5,1941,1950,3,2008,9084,1.0,3,1
105900,8,6,1928,2003,5,2010,8520,1.0,2,2
140000,5,6,1940,2000,6,2006,8400,1.0,2,1
177500,5,6,1995,1995,8,2007,11249,2.0,3,2
173000,6,6,1992,1992,7,2009,9248,2.0,3,2
134000,5,5,1976,1976,8,2007,4224,1.5,3,2
130000,4,5,1958,1958,7,2006,6930,1.0,3,1
280000,5,8,1998,1998,6,2006,12011,2.5,3,2
156000,6,6,1978,1978,6,2007,7540,1.0,2,2
145000,5,5,1940,1982,7,2008,9144,1.0,3,1
198500,5,7,2003,2003,7,2009,7301,3.0,4,2
118000,8,6,1972,2007,5,2009,1680,1.5,2,1
190000,5,6,1976,1976,7,2006,18800,2.5,3,2
147000,7,5,1920,1997,7,2009,10690,1.0,3,1
159000,5,6,1963,1963,7,2009,9500,1.5,3,2
165000,5,6,1962,1962,12,2008,9150,1.0,3,1
132000,6,5,1954,1954,3,2010,7800,1.0,2,1
162000,7,5,1959,2006,3,2010,9830,1.0,3,2
172400,5,6,2000,2000,1,2006,8121,2.5,3,2
134432,4,4,1959,1959,7,2008,17120,2.0,4,2
125000,5,6,1984,1984,2,2010,7175,1.0,2,1
123000,6,5,1953,1953,11,2009,10634,1.0,3,1
219500,5,7,2003,2004,7,2007,8200,2.5,4,2
61000,1,1,1922,1950,3,2009,10020,0.5,1,0
148000,5,5,1996,1996,7,2006,8846,1.0,2,2
340000,5,8,2004,2005,12,2007,11143,3.0,4,2
394432,2,9,2010,2010,6,2010,11394,1.5,1,3
179000,5,6,2000,2000,6,2009,8123,2.5,3,2
127000,6,5,1924,1950,5,2010,5000,2.0,3,1
187750,5,7,2006,2006,8,2006,7200,2.0,2,2
213500,5,7,2006,2006,4,2007,9245,2.5,3,2
76000,3,6,1928,1950,10,2009,9000,1.0,2,2
240000,5,6,1992,1992,6,2007,53107,2.5,3,2
192000,5,8,2004,2005,4,2010,3182,2.0,2,2
81000,3,5,1910,1996,5,2006,8410,1.0,5,0
125000,6,6,1976,1976,10,2009,7200,1.0,3,1
191000,5,7,1999,2000,7,2008,9382,2.0,3,2
426000,5,10,2007,2008,8,2008,12474,2.5,3,3
119000,8,5,1900,1950,4,2008,8405,1.0,4,1
215000,5,6,2001,2002,6,2009,12209,2.5,3,2
106500,7,5,1959,1959,7,2007,8339,1.0,3,1
100000,5,4,1941,1950,4,2006,7446,1.0,2,0
109000,6,5,1940,1950,7,2007,10134,1.0,2,1
129000,6,5,1956,1956,6,2010,9571,1.0,3,1
123000,5,5,1972,1972,9,2009,7200,1.0,2,2
169500,5,5,1962,1962,7,2007,7590,2.0,4,1
67000,2,5,1920,1950,11,2007,8967,1.0,2,1
241000,5,7,2006,2007,10,2009,8125,2.0,2,2
245500,5,8,1996,1996,12,2008,14963,1.5,1,2
164990,5,7,2005,2005,7,2006,8767,2.0,3,2
108000,8,5,1940,1997,8,2008,10200,1.0,2,1
258000,5,8,1998,1998,7,2006,12090,2.5,4,2
168000,5,6,1995,1996,5,2007,10364,2.5,3,2
150000,4,4,1976,1993,6,2009,9991,2.0,3,2
115000,5,6,1936,1950,3,2008,10480,1.0,3,1
177000,7,6,1915,1976,3,2008,15576,2.0,4,1
280000,5,7,2006,2006,8,2007,14154,2.5,3,3
339750,5,8,2007,2008,4,2008,10800,2.5,3,3
60000,3,5,1958,1958,6,2009,9571,1.0,3,1
145000,5,5,1955,1955,1,2006,34650,1.0,3,2
222000,5,7,2009,2009,6,2010,4403,2.5,2,2
115000,6,5,1927,1950,3,2010,8960,1.0,2,2
228000,5,7,1993,1993,12,2008,11228,2.5,3,3
181134,5,7,2007,2007,8,2007,8899,2.0,3,2
149500,7,6,1978,1978,3,2006,7844,1.5,3,2
239000,6,6,1918,1950,11,2007,22420,2.5,4,3
126000,6,5,1940,1950,4,2007,8160,1.5,3,1
142000,6,5,1968,1968,7,2010,8450,1.0,3,1
206300,5,7,1997,1998,11,2008,7060,2.0,2,4
215000,7,6,1977,2000,6,2009,16635,2.0,3,2
113000,5,5,1954,1954,2,2008,21750,1.0,2,2
315000,5,8,1998,1998,6,2008,9200,2.5,4,3
139000,5,6,1956,1956,5,2008,9000,1.0,2,1
135000,8,7,1946,1992,9,2009,3378,1.5,3,1
275000,5,7,1989,1989,8,2009,12800,2.0,2,2
109008,6,4,1957,1957,7,2008,8593,1.0,3,1
195400,5,7,2007,2007,9,2007,6762,2.0,2,2
175000,5,6,1988,1988,3,2009,11457,2.0,3,2
85400,5,6,1971,1971,7,2008,1680,1.5,2,1
79900,7,6,1920,1998,9,2008,5586,1.0,4,0
122500,5,5,1971,1971,8,2007,1920,1.5,2,2
181000,5,6,1997,1998,7,2008,10839,2.5,3,2
81000,7,4,1972,1972,6,2008,1890,1.0,1,0
212000,6,7,1996,1996,4,2009,10667,2.5,3,2
116000,8,6,1920,1950,10,2006,4400,1.0,2,2
119000,7,6,1926,2004,1,2009,6000,1.0,2,1
90350,6,5,1913,2002,3,2007,4280,1.0,2,1
110000,8,6,1920,2000,8,2009,12354,1.0,3,2
555000,5,10,2008,2008,4,2009,15431,2.0,2,3
118000,4,4,1955,1955,9,2008,12108,2.0,4,0
162900,7,5,1930,1992,6,2008,6240,2.0,3,2
172500,5,7,2006,2007,6,2007,3922,2.0,2,3
210000,5,7,1994,1995,7,2008,8750,2.5,4,2
127500,5,6,1956,1956,11,2009,9855,1.0,3,2
190000,6,6,1966,2002,6,2010,16492,2.5,2,2
199900,5,7,1998,1999,7,2006,11214,2.5,4,2
119500,6,6,1937,1950,6,2006,8600,2.0,3,1
120000,7,3,1948,2002,6,2007,6000,1.5,2,1
110000,8,6,1930,2005,6,2006,5684,1.0,2,1
280000,5,7,1975,1975,12,2006,70761,2.0,2,2
204000,5,6,1996,1997,7,2007,9303,2.5,3,2
210000,5,8,2008,2008,6,2009,9000,2.5,3,2
188000,5,5,1976,1976,7,2006,9297,2.0,4,2
175500,6,7,1973,1973,9,2007,9600,1.5,3,2
98000,5,5,1916,1950,5,2008,4571,1.0,4,3
256000,6,4,1954,1994,3,2008,53227,1.0,2,2
161000,7,8,1925,1996,6,2008,5100,1.0,3,1
110000,4,5,1950,1950,7,2009,7015,1.0,3,1
263435,5,8,2009,2009,12,2009,8004,2.5,3,2
155000,9,7,1936,2007,4,2009,7200,1.0,3,2
62383,5,5,1965,1965,12,2009,8281,1.0,3,1
188700,7,6,1934,1995,8,2008,11988,1.5,3,1
124000,5,5,1978,1978,8,2009,8430,2.0,3,0
178740,5,7,2004,2004,5,2006,3072,2.0,2,2
167000,5,7,1970,1970,4,2007,10628,1.0,2,2
146500,7,5,1942,1995,6,2007,9480,1.5,3,1
250000,5,8,2006,2006,5,2007,11428,2.0,3,3
187000,5,6,1993,1993,6,2008,9291,2.5,3,2
212000,5,8,1985,1985,6,2010,6820,1.5,1,2
190000,6,7,1977,1977,11,2007,11952,2.5,3,2
148000,5,6,2005,2005,6,2008,3675,1.0,2,2
440000,5,8,2006,2007,7,2007,14977,2.0,2,3
251000,5,8,2000,2000,8,2007,5330,2.0,2,2
132500,6,5,1963,1963,7,2007,8480,1.0,2,2
208900,5,6,1997,1998,4,2008,13125,2.0,3,2
