SalePrice,OverallQual,GrLivArea,YearRemodAdd,TotalBsmtSF,1stFlrSF,BedroomAbvGr,TotalBath,TotRmsAbvGrd,GarageCars
239686,7,2149,2003,1434,1518,1,1.5,6,2
249700,8,1656,2006,1656,1656,3,2.0,7,3
113000,4,1452,2008,736,736,2,2.0,8,0
127000,5,955,1966,955,955,3,1.0,6,1
177000,6,1470,1997,794,794,3,2.0,6,2
114500,6,1176,1950,816,816,3,1.0,6,2
110000,5,816,1963,816,816,2,1.0,5,2
385000,9,1842,1987,1842,1842,0,0.5,5,3
130000,5,1360,1955,384,1360,3,1.0,6,2
180500,6,1425,1964,1425,1425,3,2.0,7,2
172500,8,1739,2000,970,983,3,2.5,7,2
196500,7,1720,2004,860,860,3,2.5,7,2
438780,10,2945,2006,1410,1426,3,3.5,10,3
124900,5,780,1972,780,780,2,1.0,4,1
158000,6,1158,2004,1158,1158,3,1.5,5,2
101000,5,1111,1996,530,581,3,1.0,6,1
202500,8,1370,2006,1370,1370,2,2.0,6,2
140000,7,1710,1950,576,902,3,2.0,9,2
219500,7,2034,1998,1057,1057,3,2.5,8,2
317000,8,2473,2005,1143,1143,4,2.5,9,3
180000,7,2207,1989,1947,2207,3,2.0,7,2
226000,7,1479,2003,1453,1479,3,2.0,7,2
80000,4,747,1950,747,747,2,1.0,4,1
225000,7,2287,1953,1304,1304,3,2.0,7,2
244000,7,2223,1973,2223,2223,3,2.0,8,2
129500,4,845,2006,845,845,2,1.0,4,2
185000,7,1718,1998,832,885,3,2.5,7,2
144900,5,1086,2003,1086,1086,3,1.0,6,2
107400,3,1605,1950,840,840,3,2.0,8,1
91000,4,988,1973,462,526,2,1.0,5,1
135750,4,952,1956,952,952,2,1.0,4,1
127000,5,1285,2001,672,1072,2,1.0,6,1
136500,4,1768,1968,1768,1768,4,2.0,8,0
110000,5,1230,1981,440,682,2,1.5,5,2
193500,6,2142,1968,896,1182,4,2.5,8,1
153500,6,1337,1998,1237,1337,2,2.0,5,2
245000,8,1563,2007,1563,1563,3,2.0,6,3
126500,5,1065,1960,1065,1065,3,1.5,6,2
168500,7,1474,1996,384,804,3,2.5,7,2
260000,8,2417,1992,1288,1301,4,2.5,9,2
174000,6,1560,2005,684,684,3,2.5,6,2
164500,6,1224,2009,612,612,2,2.5,4,2
85000,3,1526,1982,1013,1013,2,1.0,6,0
123600,4,990,1995,990,990,3,1.0,5,0
109900,4,1040,1950,0,1040,2,1.0,4,2
98600,5,1235,1961,1235,1235,2,1.0,6,2
163500,5,964,2006,876,964,2,1.0,5,2
133900,6,2291,1998,1214,1260,4,2.0,9,2
204750,6,1786,1997,824,905,3,2.5,7,2
185000,6,1470,1993,680,680,3,2.5,6,2
214000,7,1588,1999,1588,1588,3,2.0,6,2
94750,4,960,1965,960,960,3,1.0,6,1
83000,5,835,1950,458,835,2,1.0,5,1
128950,4,1225,1959,950,1225,3,1.5,6,0
205000,6,1610,2001,1610,1610,3,2.0,6,2
178000,6,1732,1985,741,977,3,2.5,7,2
118964,5,1535,1979,0,1535,4,2.0,8,2
198900,7,1226,2009,1226,1226,3,2.0,6,3
169500,7,1818,1950,1040,1226,4,1.5,7,1
250000,8,1992,2004,1053,1053,3,2.5,9,2
100000,4,1047,1995,641,1047,2,1.0,6,1
115000,5,789,1950,789,789,2,1.0,5,1
115000,5,1517,2005,793,997,3,2.0,7,0
190000,6,1844,1977,1844,1844,3,2.0,7,2
136900,6,1855,1972,994,1216,4,2.0,7,1
180000,7,1430,2000,384,774,3,2.5,7,2
383970,7,2696,2007,1264,1282,4,2.5,10,3
217000,6,2259,1953,1809,2259,3,2.0,7,2
259500,6,2320,2002,1028,1436,3,2.5,9,1
176000,6,1458,1999,729,729,2,2.5,5,2
139000,5,1092,1962,1092,1092,3,1.0,6,1
155000,5,1125,2007,1125,1125,2,1.5,5,2
320000,7,3222,1990,1673,1699,5,3.0,11,3
163990,6,1456,2006,728,728,3,2.5,8,2
180000,6,988,1969,938,988,1,1.0,4,2
100000,4,1123,1950,732,772,3,1.0,4,1
136000,6,1080,1958,1080,1080,3,1.0,5,1
153900,6,1199,1993,1199,1199,2,2.0,5,2
181000,6,1586,1998,1362,1586,3,2.0,7,2
84500,6,754,1982,520,520,2,1.0,5,0
128000,6,958,1976,1078,958,2,2.0,5,2
87000,5,840,1950,672,840,3,1.0,5,0
155000,6,1348,1966,660,660,3,1.5,6,2
150000,5,1053,1991,1008,1053,3,1.5,6,2
226000,7,2157,1966,924,1216,4,2.5,8,2
244000,6,2054,2000,992,1022,3,2.5,7,2
150750,5,1327,2002,1063,1327,3,1.0,7,2
220000,8,1296,2002,1267,1296,2,2.0,6,2
180000,5,1721,1993,1461,1721,3,2.5,7,2
174000,7,1682,1970,1304,1682,3,2.0,7,2
143000,5,1214,1967,1214,1214,3,2.0,5,1
171000,7,1959,1989,1907,1959,5,3.0,9,3
230000,8,1852,2000,1004,1004,3,2.5,7,3
231500,6,1764,1997,928,928,3,2.5,7,2
115000,4,864,1971,864,864,3,1.0,5,0
260000,7,1734,2005,1734,1734,3,2.0,7,2
166000,5,1385,1952,910,910,4,2.0,6,2
204000,7,1501,1999,1490,1501,3,2.0,6,2
125000,5,1728,1963,1728,1728,6,2.0,10,2
130000,6,1709,2006,970,970,3,2.0,7,2
105000,5,875,1993,715,875,2,1.0,5,1
222500,7,2035,2001,884,884,3,2.5,8,2
141000,7,1080,2005,1080,1080,3,1.0,6,0
115000,5,1344,1950,896,896,3,1.0,7,1
122000,5,969,1975,969,969,3,1.5,5,2
372402,8,1710,2008,1710,1710,2,2.0,6,3
190000,6,1993,1971,825,1097,4,2.5,8,2
235000,6,1252,1975,1602,1252,1,1.0,4,2
125000,6,1200,1950,1200,1200,4,1.0,7,1
79000,6,1096,1950,572,572,2,1.0,5,0
109500,5,1040,1950,0,1040,2,1.0,5,2
269500,8,1968,2010,774,774,4,2.5,8,3
254900,7,1947,2005,991,991,3,2.5,8,2
320000,7,2462,2006,1392,1392,4,2.5,9,2
162500,6,1232,1984,1232,1232,3,2.0,6,2
412500,9,2668,2004,1572,1572,3,2.5,10,3
220000,7,1541,2005,1541,1541,3,2.0,7,2
103200,4,882,1956,882,882,1,1.0,4,0
152000,6,1616,2004,1149,1149,3,2.0,5,1
127500,5,1355,1999,644,808,4,2.0,6,0
190000,5,1867,1993,1617,1867,2,1.0,7,1
325624,8,2161,2007,1582,1610,3,1.5,8,3
183500,7,1720,2004,840,840,3,2.5,7,2
228000,8,1707,1981,1686,1707,2,2.5,6,2
128500,5,1382,1950,720,854,2,1.5,7,2
215000,6,1656,1960,1080,1656,3,1.0,7,2
239000,7,1767,1987,1064,1064,2,2.0,5,2
163000,6,1362,1961,1362,1362,3,1.5,6,2
184000,6,1651,1986,1606,1651,3,2.0,7,2
243000,6,2158,2001,1202,2158,4,2.0,7,2
211000,6,2060,1989,1151,1164,4,2.5,8,2
172500,5,1920,1958,1052,1252,4,2.0,8,2
501837,9,2234,2009,2216,2234,1,2.0,9,3
100000,5,968,2006,968,968,2,1.0,5,2
177000,6,1525,2000,756,769,3,2.5,5,2
200100,7,1802,1950,793,901,4,1.5,9,1
120000,5,1340,2006,0,1340,3,1.0,7,1
200000,7,2082,2003,1362,1362,3,2.5,6,2
127000,5,1252,1991,504,936,3,1.0,5,2
475000,10,3608,1993,1107,1518,4,2.5,12,3
173000,7,1217,1991,1188,1217,3,2.0,6,2
135000,5,1656,1987,660,808,3,2.5,8,1
153337,5,1224,1979,1086,1224,2,1.0,6,2
286000,8,1593,2002,1593,1593,0,1.5,5,2
315000,8,2727,1994,853,1549,3,2.5,10,2
184000,7,1479,2004,725,725,4,1.5,7,2
192000,7,1431,1999,1431,1431,3,2.0,6,2
130000,7,1709,2004,970,970,3,2.0,7,2
127000,5,864,1972,864,864,3,1.0,5,1
148500,6,1456,1976,855,855,3,2.5,7,2
311872,7,1726,2007,1726,1726,3,2.0,8,3
235000,8,3112,1990,1360,1360,4,2.0,8,2
104000,6,2229,1950,755,929,5,1.0,8,0
274900,8,1713,2005,1713,1713,3,2.0,7,3
140000,4,1121,2004,1121,1121,2,2.0,5,2
171500,6,1279,1977,1196,1279,3,2.0,6,2
112000,6,1310,1950,617,865,2,2.0,6,1
149000,6,848,2004,848,848,1,1.0,3,2
110000,5,1284,1950,720,720,2,1.5,5,1
180500,7,1442,1990,1424,1442,3,2.0,5,2
143900,5,1696,1962,1140,1696,3,1.5,8,1
141000,4,1100,1960,1100,1100,3,1.0,6,1
277000,7,2062,1989,1157,1180,3,2.5,7,2
145000,6,1092,1964,1092,1092,3,1.0,6,2
98000,5,864,1950,864,864,2,1.0,5,0
186000,6,1212,2009,1212,1212,3,2.0,6,2
252678,7,1852,2009,900,932,3,2.5,7,2
156000,5,990,1995,990,990,3,1.0,5,2
161750,6,1392,1977,689,689,3,1.5,6,1
134450,5,1236,1996,1070,1236,2,1.0,6,1
210000,7,1436,2004,1436,1436,3,2.0,8,2
107000,4,1328,1950,686,810,3,1.0,8,1
311500,7,1954,2006,798,1137,3,1.5,8,2
167240,7,1248,2006,1248,1248,2,2.0,5,2
204900,7,1498,2006,1498,1498,2,2.0,5,2
200000,6,2267,2002,1010,1010,4,2.5,8,2
179900,6,1552,1975,713,811,3,2.5,6,2
97000,4,864,1971,864,864,2,1.0,4,2
386250,10,2392,2003,2392,2392,3,2.0,8,3
112000,5,1302,1971,630,630,3,2.5,6,1
290000,7,2520,1995,1203,1214,4,2.5,9,3
106000,6,987,1970,483,483,2,1.5,5,1
125000,5,912,1967,912,912,3,1.0,5,1
192500,7,1555,2006,1373,1555,2,2.0,7,2
148000,6,1194,1959,1194,1194,3,1.0,6,1
403000,8,2794,1996,1462,1490,4,2.5,9,3
94500,6,987,1972,483,483,2,1.5,5,1
128200,5,894,1976,894,894,3,1.0,5,1
216500,6,1960,2002,860,860,4,2.5,8,2
89500,6,987,1971,483,483,2,1.5,5,1
185500,7,1414,2004,1414,1414,3,2.0,6,2
194500,7,1744,2003,996,1014,3,2.5,7,2
318000,8,1694,2007,1694,1694,3,2.0,7,3
113000,6,1487,1950,735,798,3,1.5,7,1
262500,8,1566,2008,1566,1566,3,2.0,7,2
110500,5,866,1997,686,866,2,1.0,4,0
79000,5,1440,1950,540,889,3,1.0,6,1
120000,6,1217,1980,626,626,3,1.5,6,1
205000,7,2110,2002,948,1222,3,2.5,8,2
241500,7,1872,1988,1845,1872,3,2.0,6,2
137000,6,1928,1950,1020,908,4,2.0,9,1
140000,6,1375,1954,1367,1375,2,1.0,5,2
180000,7,1668,2003,840,840,3,2.5,8,2
277000,6,2144,2006,1444,1444,4,2.0,7,2
76500,3,1306,1966,728,1306,3,1.0,6,0
235000,8,1625,2007,1573,1625,2,2.0,5,2
173000,6,1640,2004,798,798,3,2.5,6,2
158000,6,1302,1991,1302,1302,3,2.0,7,1
145000,5,1314,1957,1314,1314,3,1.0,5,1
230000,7,2291,1999,975,1005,4,2.5,8,2
207500,6,1728,2003,864,864,3,2.5,7,2
220000,7,1604,2006,1604,1604,3,2.5,8,2
231500,7,1792,2001,963,963,3,2.5,7,2
97000,5,882,1956,0,882,2,1.0,4,1
176000,6,1382,1962,1362,1382,3,1.0,6,2
276000,8,2574,2007,1482,1482,3,2.5,10,3
151000,6,1212,1995,506,1212,3,1.0,6,2
130000,5,1316,2001,926,926,3,1.0,6,2
73000,5,764,2004,680,764,2,1.0,4,2
175500,6,1422,1981,1422,1422,3,2.0,7,2
185000,6,1511,1997,802,802,3,2.5,8,2
179500,5,2192,1997,720,1052,4,2.5,8,1
120500,5,778,1955,740,778,2,1.0,4,1
148000,6,1113,1976,1143,1113,3,1.5,6,1
266000,8,1939,2006,1095,1095,3,2.5,8,3
241500,7,1363,2005,1385,1363,2,1.0,5,2
290000,8,2270,2007,1152,1164,4,2.5,9,3
139000,6,1632,1988,1240,1632,3,2.0,6,1
124500,5,816,1982,816,816,2,1.0,5,1
205000,7,1548,2007,952,952,3,2.5,5,2
201000,7,1560,2003,1560,1560,3,2.0,7,2
141000,4,864,1951,864,864,2,1.0,4,2
415298,9,2121,2007,2121,2121,3,2.5,8,3
192000,7,2022,1977,1160,1156,4,2.5,8,2
228500,7,1982,1989,807,1175,3,2.5,7,2
185000,6,1262,2006,1262,1262,2,2.0,5,2
207500,7,1314,2008,1314,1314,2,2.0,6,2
244600,8,1468,2009,1468,1468,3,2.0,6,3
179200,6,1575,1992,1575,1575,2,2.0,5,2
164700,7,1250,2007,625,625,2,2.5,5,2
159000,6,1734,1981,912,1085,3,1.5,7,2
88000,4,858,1971,858,858,3,1.0,5,0
122000,5,900,1967,882,900,3,1.0,5,1
153575,6,1396,2003,698,698,3,1.0,7,1
233230,8,1919,2006,1079,1079,3,2.5,8,2
135900,5,1716,2000,780,936,6,2.0,9,0
131000,5,1716,2008,768,1148,3,1.5,8,1
235000,7,2263,1994,795,1468,3,2.5,9,2
167000,6,1644,1953,1416,1644,3,1.0,7,2
142500,6,1003,1984,1003,1003,3,1.0,6,2
152000,5,1558,1950,910,910,4,1.5,6,1
239000,7,1950,1998,975,975,3,2.5,7,2
175000,6,1743,1968,702,1041,3,2.0,7,2
158500,6,1152,2004,1092,1152,3,1.0,6,1
157000,5,1336,1953,1165,1336,2,1.0,5,1
267000,8,2452,1999,1028,1210,4,2.5,9,2
205000,7,1541,2002,1541,1541,3,2.0,6,3
149900,5,894,1972,894,894,3,1.0,5,2
295000,7,3493,2002,1470,1675,3,3.0,10,3
305900,8,2000,2005,2000,2000,3,2.0,8,3
225000,7,2243,1991,700,1122,4,2.5,8,3
89500,6,1406,1950,319,1035,3,1.0,6,0
82500,4,861,1950,861,861,1,1.0,4,2
360000,9,1944,2004,1896,1944,3,2.0,8,3
165600,6,1501,1994,697,697,3,2.5,6,2
132000,6,972,2002,972,972,2,1.0,5,1
119900,5,1118,1950,793,793,3,1.0,5,2
375000,7,2036,1965,2136,2036,3,2.0,8,2
178000,7,1641,1990,728,832,3,1.5,6,2
188500,7,1432,2005,716,716,3,2.5,6,2
260000,7,2353,1980,845,1153,4,2.5,10,2
270000,8,1959,2006,1088,1088,3,2.5,8,3
260000,7,2646,1993,1347,1372,4,2.5,9,3
187500,7,1472,1980,1372,1472,3,2.0,6,2
342643,9,2596,2006,1249,1249,4,3.5,9,3
354000,8,2468,2004,1136,1136,4,2.5,10,3
301000,7,2730,1987,1502,1553,4,2.5,8,2
126175,3,1163,2005,1162,1163,3,1.0,6,1
242000,7,2978,2007,710,1898,5,2.5,11,2
87000,5,803,1950,720,803,2,1.0,5,2
324000,8,1719,1993,1719,1719,1,1.5,6,2
145250,6,1383,1960,1383,1383,3,1.5,7,1
214500,6,2134,1994,844,1445,5,2.0,10,2
78000,5,1192,1950,596,596,3,1.0,6,1
119000,5,1728,1964,1728,1728,6,2.0,10,1
139000,5,1056,1992,1056,1056,3,1.0,6,1
284000,8,1629,2004,3206,1629,3,2.0,7,3
207000,7,1358,2004,1358,1358,2,2.0,6,2
192000,6,1638,1998,943,943,3,2.5,7,2
228950,5,1786,1965,1499,1619,3,2.0,7,2
377426,9,1922,2006,1922,1922,3,2.0,8,3
214000,7,1536,2003,1536,1536,3,2.0,7,2
202500,7,1621,1998,1208,1621,3,2.0,8,2
155000,6,1215,1998,1215,1215,3,1.0,6,1
202900,8,1908,2002,967,993,4,2.5,9,2
82000,4,841,1950,721,841,2,1.0,4,1
87500,3,1040,1950,0,1040,2,2.0,6,2
266000,9,1684,2005,1684,1684,2,2.0,6,2
85000,5,1112,1976,536,536,3,1.5,4,1
140200,6,1577,1950,972,972,3,1.0,6,1
151500,6,958,1998,958,958,2,1.0,5,1
157500,6,1478,1960,1478,1478,3,2.0,6,2
154000,7,1626,2004,764,764,2,2.5,6,2
437154,9,2728,2006,1848,1848,4,2.5,10,3
318061,9,1869,2007,1869,1869,2,2.0,6,2
190000,7,1453,1986,1453,1453,2,1.5,6,2
95000,5,1111,1950,616,616,3,1.0,5,1
105900,6,720,2003,624,720,2,1.0,5,2
140000,6,1595,2000,940,1192,2,1.0,6,1
177500,6,1200,1995,1200,1200,3,2.0,6,2
173000,6,1167,1992,1158,1167,3,2.0,6,2
134000,5,1142,1976,1142,1142,3,1.5,6,2
130000,5,1352,1958,1062,1352,3,1.0,6,1
280000,8,1924,1998,1086,1086,3,2.5,7,2
156000,6,912,1978,888,912,2,1.0,5,2
145000,5,1505,1982,883,988,3,1.0,8,1
198500,7,1922,2003,0,495,4,3.0,7,2
118000,6,987,2007,483,483,2,1.5,5,1
190000,6,1574,1976,796,790,3,2.5,6,2
147000,5,1344,1997,672,672,3,1.0,6,1
159000,6,1394,1963,1394,1394,3,1.5,6,2
165000,6,1431,1962,1099,1431,3,1.0,6,1
132000,5,1268,1954,1268,1268,2,1.0,7,1
162000,5,1287,2006,1063,1287,3,1.0,7,2
172400,6,1664,2000,953,953,3,2.5,7,2
134432,4,1588,1959,0,1120,4,2.0,7,2
125000,6,752,1984,744,752,2,1.0,4,1
123000,5,1319,1953,608,1319,3,1.0,5,1
219500,7,1928,2004,847,847,4,2.5,8,2
61000,1,904,1950,683,904,1,0.5,4,0
148000,5,914,1996,870,914,2,1.0,5,2
340000,8,2466,2005,1580,1580,4,3.0,8,2
394432,9,1856,2010,1856,1856,1,1.5,8,3
179000,6,1800,2000,982,1007,3,2.5,7,2
127000,5,1691,1950,1026,1026,3,2.0,6,1
187750,7,1301,2006,1293,1301,2,2.0,5,2
213500,7,1797,2006,939,939,3,2.5,8,2
76000,6,784,1950,784,784,2,1.0,5,2
240000,6,1953,1992,1580,1079,3,2.5,9,2
192000,8,1269,2005,1256,1269,2,2.0,6,2
81000,5,1184,1996,658,658,5,1.0,8,0
125000,6,1125,1976,1041,1125,3,1.0,6,1
191000,7,1479,2000,1468,1479,3,2.0,6,2
426000,10,2332,2008,1682,1742,3,2.5,9,3
119000,5,1367,1950,861,961,4,1.0,7,1
215000,6,1961,2002,804,804,3,2.5,7,2
106500,5,882,1959,0,882,3,1.0,5,1
100000,4,788,1950,788,788,2,1.0,4,0
109000,5,1034,1950,735,735,2,1.0,5,1
129000,5,1144,1956,1144,1144,3,1.0,6,1
123000,5,894,1972,894,894,2,1.0,6,2
169500,5,1812,1962,864,876,4,2.0,8,1
67000,5,1077,1950,961,1077,2,1.0,6,1
241000,7,1550,2007,1092,1112,2,2.0,7,2
245500,8,1288,1996,1260,1288,1,1.5,4,2
164990,7,1310,2005,1310,1310,3,2.0,6,2
108000,5,672,1997,672,672,2,1.0,4,1
258000,8,2263,1998,1141,1165,4,2.5,10,2
168000,6,1572,1996,806,806,3,2.5,7,2
150000,4,1620,1993,1281,1620,3,2.0,8,2
115000,6,1639,1950,1064,1166,3,1.0,6,1
177000,6,1680,1976,840,840,4,2.0,8,1
280000,7,2172,2006,1063,1071,3,2.5,9,3
339750,8,2078,2008,1034,1050,3,2.5,8,3
60000,5,1276,1958,1276,1276,3,1.0,5,1
145000,5,1056,1955,1056,1056,3,1.0,5,2
222000,7,1478,2009,1470,1478,2,2.5,7,2
115000,5,1028,1950,1008,1028,2,1.0,5,2
228000,7,2097,1993,1080,1080,3,2.5,9,3
181134,7,1340,2007,1340,1340,3,2.0,6,2
149500,6,1400,1978,672,672,3,1.5,6,2
239000,6,2624,1950,1370,1370,4,2.5,10,3
126000,5,1134,1950,756,756,3,1.5,7,1
142000,5,1056,1968,1056,1056,3,1.0,6,1
206300,7,1344,1998,1344,1344,2,2.0,8,4
215000,6,1602,2000,1602,1602,3,2.0,8,2
113000,5,988,1954,988,988,2,1.0,4,2
315000,8,2630,1998,1470,1470,4,2.5,8,3
139000,6,1196,1956,1196,1196,2,1.0,6,1
135000,7,1389,1992,651,707,3,1.5,6,1
275000,7,1644,1989,1518,1644,2,2.0,5,2
109008,4,907,1957,907,907,3,1.0,5,1
195400,7,1208,2007,1208,1208,2,2.0,6,2
175000,6,1412,1988,1392,1412,3,2.0,6,2
85400,6,987,1971,483,483,2,1.5,4,1
79900,6,1198,1998,901,1088,4,1.0,7,0
122500,5,1365,1971,765,765,2,1.5,6,2
181000,6,1604,1998,926,926,3,2.5,7,2
81000,4,630,1972,630,630,1,1.0,3,0
212000,7,1661,1996,799,827,3,2.5,6,2
116000,6,1118,1950,648,734,2,1.0,6,2
119000,6,904,2004,884,904,2,1.0,4,1
90350,5,694,2002,440,694,2,1.0,4,1
110000,6,1196,2000,684,684,3,1.0,7,2
555000,10,2402,2008,3094,2402,2,2.0,10,3
118000,4,1440,1955,1440,1440,4,2.0,8,0
162900,5,1573,1992,1078,1128,3,2.0,8,2
172500,7,1258,2007,1258,1258,2,2.0,6,3
210000,7,1908,1995,915,933,4,2.5,8,2
127500,6,1689,1956,1436,1689,3,1.0,7,2
190000,6,1888,2002,1517,1888,2,2.5,6,2
199900,7,1886,1999,930,956,4,2.5,10,2
119500,6,1376,1950,780,780,3,2.0,7,1
120000,3,1183,2002,649,679,2,1.5,6,1
110000,6,813,2005,813,813,2,1.0,5,1
280000,7,1533,1975,1533,1533,2,2.0,5,2
204000,6,1756,1997,872,888,3,2.5,7,2
210000,8,1590,2008,768,786,3,2.5,6,2
188000,5,1728,1976,1728,1728,4,2.0,8,2
175500,7,1242,1973,1242,1242,3,1.5,6,2
98000,5,1344,1950,624,624,4,1.0,7,3
256000,4,1663,1994,1364,1663,2,1.0,6,2
161000,8,1666,1996,588,833,3,1.0,7,1
110000,5,1203,1950,709,979,3,1.0,5,1
263435,8,1935,2009,832,832,3,2.5,8,2
155000,7,1135,2007,560,575,3,1.0,6,2
62383,5,864,1965,864,864,3,1.0,5,1
188700,6,1660,1995,715,849,3,1.5,6,1
124000,5,1040,1978,1040,1040,3,2.0,5,0
178740,7,1414,2004,1375,1414,2,2.0,6,2
167000,7,1277,1970,1277,1277,2,1.0,5,2
146500,5,1644,1995,728,888,3,1.5,7,1
250000,8,1634,2006,1626,1634,3,2.0,7,3
187000,6,1710,1993,832,832,3,2.5,7,2
212000,8,1502,1985,1488,1502,1,1.5,4,2
190000,7,1969,1977,808,1161,3,2.5,8,2
148000,6,1072,2005,547,1072,2,1.0,5,2
440000,8,1976,2007,1976,1976,2,2.0,7,3
251000,8,1652,2000,1494,1652,2,2.0,6,2
132500,5,970,1963,970,970,2,1.0,5,2
208900,6,1493,1998,1478,1493,3,2.0,7,2
380000,9,2643,2006,2153,2069,3,2.5,9,3
297000,8,1718,2008,1705,1718,3,2.0,7,3
89471,4,1131,2000,907,1131,2,1.0,7,2
326000,9,1850,2005,1833,1850,3,2.0,8,3
374000,9,1792,2004,1792,1792,2,2.0,6,3
155000,7,1826,2005,910,916,4,1.5,7,1
164000,6,1216,1998,1216,1216,2,2.0,5,2
132500,5,999,2001,999,999,3,1.0,6,1
147000,5,1113,2007,1113,1113,3,1.0,5,1
156000,5,1073,1965,1073,1073,3,1.5,6,2
175000,5,1484,1971,1484,1484,3,2.0,7,2
160000,5,2414,1970,954,1766,3,2.0,10,2
86000,4,630,2002,630,630,1,1.0,3,1
115000,5,1304,1976,264,616,3,1.5,4,1
133000,6,1578,1950,806,958,3,1.0,5,1
172785,6,1456,2006,728,728,3,2.5,8,2
155000,5,1269,1960,1269,1269,3,1.5,6,1
91300,5,886,1996,190,886,2,1.0,4,1
34900,4,720,1950,720,720,2,1.0,4,0
430000,8,3228,1993,3200,3228,4,3.0,10,2
184000,7,1820,1950,1026,1133,4,2.0,8,1
130000,5,899,2004,864,899,3,1.0,5,1
120000,5,912,1985,912,912,2,1.0,5,1
113000,6,1218,1973,672,672,3,1.5,7,1
226700,7,1768,2005,866,866,3,2.5,7,2
140000,5,1214,1965,1214,1214,2,1.0,6,2
289000,7,1801,1997,1501,1801,1,2.0,6,2
147000,6,1322,1974,855,855,3,2.5,6,2
124500,5,1960,1952,960,960,4,2.0,10,2
215000,8,1911,1994,777,1065,3,2.5,8,2
208300,6,1218,2009,1218,1218,2,2.0,4,2
161000,7,1378,2005,689,689,3,2.0,7,2
124500,5,1041,1959,1041,1041,3,1.0,6,1
164900,5,1363,2000,1008,1363,2,1.0,6,1
202665,7,1368,2006,1368,1368,2,2.0,6,2
129900,5,864,1958,864,864,3,1.0,5,2
134000,6,1080,1983,1084,1080,3,1.5,5,2
96500,5,789,1950,768,789,2,1.0,5,1
402861,10,2020,2009,2006,2020,3,2.5,9,3
158000,6,2119,1972,689,1378,3,2.5,7,2
265000,7,2344,1997,1264,1277,3,2.5,7,3
211000,6,1796,1998,794,882,3,2.5,7,2
234000,7,2080,2004,1276,1276,3,1.5,9,1
106250,4,1294,2000,0,694,3,2.0,7,0
150000,6,1244,1957,1244,1244,3,1.5,6,1
159000,6,1664,1950,1004,1004,3,2.0,7,2
184750,10,4676,2008,3138,3138,3,3.5,11,3
315750,7,2398,1997,1379,1383,3,2.5,8,3
176000,7,1266,2005,1257,1266,3,2.0,6,2
132000,5,928,2000,928,928,2,1.0,4,1
446261,9,2713,2008,1452,1476,3,2.5,11,3
86000,4,605,2002,528,605,2,1.0,5,0
200624,6,2515,1975,2035,2515,4,3.0,9,2
175000,6,1509,1989,1461,1509,3,2.0,5,2
128000,6,1362,1999,611,751,3,2.0,6,2
107500,5,827,2007,0,827,2,1.0,5,1
